BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"","wang_web_2011","Wang, K.; Thrasher, C. & Hsu, B.-J.","Web scale NLP: A case study on URL word breaking","",,,"","357--366",2011,"","84","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052123854&doi=10.1145%2f1963405.1963457&partnerID=40&md5=f0884c46e20c2b2cf89b5c9a1bb92dd2","Proceedings of the 20th {International} {Conference} on {World} {Wide} {Web}, {WWW} 2011","","","","","","","","","","","cited By 32","This paper uses the URL word breaking task as an example to elaborate what we identify as crucialin designingstatistical natural language processing (NLP) algorithmsfor Web scale applications: (1) rudimentary multilingual capabilities to cope with the global nature of the Web, (2) multi-style modeling to handle diverse language styles seen in the Web contents, (3) fast adaptation to keep pace with the dynamic changes of the Web, (4) minimal heuristic assumptions for generalizability and robustness, and (5) possibilities of efficient implementations and minimal manual efforts for processing massive amount of data at a reasonable cost. We first show that the state-of-the-art word breaking techniquescan be unified and generalized under the Bayesian minimum risk (BMR) framework that, using a Web scale N-gram, can meet the first three requirements. We discuss how the existing techniques can be viewed asintroducing additional assumptions to the basic BMR framework, and describe a generic yet efficient implementation called word synchronous beam search.Testing the framework and its implementation on a series of large scale experiments reveals the following. First, the language style used to build the modelplays a critical role in the word breaking task, and the most suitable for the URL word breaking task appears to be that ofthe document title where the best performance is obtained. Models created from other language styles, such as from document body, anchor text, and even queries, exhibit varying degrees of mismatch. Although all styles benefit from increasing modeling power which, in our experiments, corresponds tothe use of a higher order N-gram, the gain is most recognizable for the title model. The heuristics proposed by the prior arts do contribute to the word breaking performance for mismatched or less powerful models, but are less effective and, in many cases,lead to poorer performance than the matched model with minimal assumptions. For the matched model based on document titles, an accuracy rate of 97.18\% can already be achieved using simple trigram without any heuristics. Copyright © 2011 by the Association for Computing Machinery, Inc. (ACM).","","","",""
7,"","wang_improved_2015-2","Wang, H.; Han, X.; Liu, L.; Song, W. & Yuan, M.","An improved unsupervised approach to word segmentation","China Communications",12,7,"July","82--95",2015,"","100","","","","","","","","","","","","","","ESA is an unsupervised approach to word segmentation previously proposed by Wang, which is an iterative process consisting of three phases: Evaluation, Selection and Adjustment. In this article, we propose ExESA, the extension of ESA. In ExESA, the original approach is extended to a 2-pass process and the ratio of different word lengths is introduced as the third type of information combined with cohesion and separation. A maximum strategy is adopted to determine the best segmentation of a character sequence in the phrase of Selection. Besides, in Adjustment, ExESA re-evaluates separation information and individual information to overcome the overestimation frequencies. Additionally, a smoothing algorithm is applied to alleviate sparseness. The experiment results show that ExESA can further improve the performance and is time-saving by properly utilizing more information from un-annotated corpora. Moreover, the parameters of ExESA can be predicted by a set of empirical formulae or combined with the minimum description length principle.","","text analysis, natural language processing, Uncertainty, Accuracy, word segmentation, unsupervised learning, iterative methods, Entropy, Smoothing methods, character sequence, character sequence segmentation, cohesion, ExESA, Frequency measurement, improved unsupervised approach, iterative process, Length measurement, maximum strategy, minimum description length principle, overestimation frequency, Prediction algorithms, separation information, smoothing algorithm, smoothing methods, word length","",""
7,"","volk_compounds_2015","Volk, Martin; Mascarell, Laura & Fishel, Mark","Compounds, Coreferences and Multiword Translations","",,,"","",2015,"","18","","","","","","","","","","","","","","","","","",""
1,"","vittal_text-reconstruction_nodate-2","Vittal, Sujay","Text-Reconstruction","",,,"","",,"","140","https://github.com/sujay-vittal/Text-Reconstruction","","","","","","","","","","","","","This project involves two tasks - word segmentation and vowel insertion. Word segmentation often comes up when processing many non-English languages, in which words might not be flanked by spaces on either end, such as written Chinese or long compound German words. Vowel insertion is relevant for languages like Arabic or Hebrew, where modern script eschews notations for vowel sounds and the human reader infers them from context. The goal of Vowel Insertion is to insert vowels back into segmented words in a way that maximizes sentence fluency (i.e., minimizes sentence cost). A bigram cost function is used.","","","",""
7,"","verhoeven_proceedings_2014","Verhoeven, Ben; Daelemans, Walter; van Zaanen, Menno & van Huyssteen, Gerhard","Proceedings of the First Workshop on Computational Approaches to Compound Analysis held at the 25th International Conference on Computational Linguistics (COLING 2014)","",,,"","",2014,"","53","","","","","","","","","","","","","","","","","",""
6,"","van_huyssteen_taxonomy_2014","Van Huyssteen, Gerhard & Verhoeven, Ben","A Taxonomy for Afrikaans and Dutch compounds","",,,"","31--40",2014,"","03","","Proceedings of the {First} {Workshop} on {Computational} {Approaches} to {Compound} {Analysis} ({ComAComA} 2014)","","","","","","","","","","","","","","","",""
7,"","ullman_paraphrasing_nodate","Ullman, Edvin","Paraphrasing of Swedish Compound Nouns","",,,"","",,"","52","","","","","","","","","","","","","Artigo tem um complemento (in Machine Learning) e mais um autor..  ","","","","",""
6,"","tiedemann_morphological_2015","Tiedemann, Jörg; Ginter, Filip & Kanerva, Jenna","Morphological segmentation and OPUS for Finnish-English machine translation","",,,"","177--183",2015,"","48","","Proceedings of the {Tenth} {Workshop} on {Statistical} {Machine} {Translation}","","","","","","","","","","","","","","","",""
7,"","tambouratzis_using_2009-2","Tambouratzis, G.","Using an Ant Colony Metaheuristic to Optimize Automatic Word Segmentation for Ancient Greek","IEEE Transactions on Evolutionary Computation",13,4,"","742--753",2009,"","148","","","","","","","","","","","","","","Given a text or collection of texts involving unconstrained language, a basic task in a multitude of applications is the identification of stems and endings for each word form, which is termed morphological analysis. In this paper, the use of an ant colony optimization (ACO) metaheuristic is proposed for a linguistic task that involves the automated morphological segmentation of Ancient Greek word forms into stem and ending. The task of morphological analysis is essential for implementing text-processing applications such as semantic analysis and information retrieval. The difficulty of the morphological analysis task differs depending on the language chosen, being hardest in the case of highly-inflectional languages, where each stem may be associated with a large number of different endings. In this paper, focus is placed on the morphological analysis of ancient Greek, which has been shown to be a particularly hard task. To perform this task, a system for the automated morphological processing has been proposed, which implements the morphological analysis of words by coupling an iterative pattern-recognition algorithm with a modest amount of linguistic knowledge, expressed via a set of interactions associated with weights. In an earlier version of the system, these weights were determined by combining the input from specialized scientists with a lengthy manual optimization process. In this paper, the ACO metaheuristic is applied to the task of defining near-optimal system weights using an automated process based on a set of training data. The experiments performed indicate that the segmentation quality achieved by ACO is equivalent to or in several cases substantially higher than that achieved using manually optimized weights.","","information retrieval, Information retrieval, Data mining, text analysis, optimisation, Performance analysis, natural language processing, Algorithm design and analysis, Information analysis, ancient Greek, Ancient Greek, ant colony metaheuristic, Ant colony optimization, ant colony optimization (ACO) metaheuristic, automated morphological analysis, automated morphological processing, heuristic function, highly-inflectional languages, Iterative algorithms, iterative methods, iterative pattern-recognition algorithm, linguistic knowledge, linguistics, manual optimization process, morphological analysis, near-optimal system, optimize automatic word segmentation, Pattern analysis, pattern recognition, segmentation quality, semantic analysis, text processing, Text processing, text processing application, Training data","",""
6,"","takahashi_keyboard_2015-2","Takahashi, F. & Mori, S.","Keyboard logs as natural annotations for word segmentation","",,,"","1186--1196",2015,"","118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959884109&partnerID=40&md5=b951aa277fd249c48fa0691e5b63d495","Conference {Proceedings} - {EMNLP} 2015: {Conference} on {Empirical} {Methods} in {Natural} {Language} {Processing}","","","","","","","","","","","cited By 2","In this paper we propose a framework to improve word segmentation accuracy using input method logs. An input method is software used to type sentences in languages which have far more characters than the number of keys on a keyboard. The main contributions of this paper are: 1) an input method server that proposes word candidates which are not included in the vocabulary, 2) a publicly usable input method that logs user behavior (like typing and selection of word candidates), and 3) a method for improving word segmentation by using these logs. We conducted word segmentation experiments on tweets from Twitter, and showed that our method improves accuracy in this domain. Our method itself is domain-independent and only needs logs from the target domain. © 2015 Association for Computational Linguistics.","","","",""
6,"","sureka_source_2012","Sureka, A.","Source code identifier splitting using yahoo image and web search engine","",,,"","1--8",2012,"","65","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869760971&doi=10.1145%2f2384416.2384417&partnerID=40&md5=042160e97cea76d60ed1709ec697fb7f","Proceedings of the {ACM} {SIGKDD} {International} {Conference} on {Knowledge} {Discovery} and {Data} {Mining}","","","","","","","","","","","cited By 1","Source-code or program identifiers are sequence of characters consisting of one or more tokens representing domain concepts. Splitting or tokenizing identifiers that does not contain explicit markers or clues such as came-casing or using underscore as a token separatoris a technically challenging problem. In this paper, we present a technique for automatic tokenization and splitting of source-code identifiers using Yahoo web search and image search similarity distance. We present an algorithm that decides the split position based on various factors such as conceptual correlations and semantic relatedness between the left and right splits strings of a given identifier, popularity of the token and its length. The number of hits or search results returned by the web and image search engine serves as a proxy to measures such as term popularity and correlation. We perform a series of experiments to validate the proposed approach and present performance results.","","","",""
6,"","sun_using_2013-2","Sun, R.; Zhou, W. & Liu, Z.","Using language rules to improve the performance of word segmentation","",03,,"","1665--1669",2013,"","149","","2013 6th {International} {Congress} on {Image} and {Signal} {Processing} ({CISP})","","","","","","","","","","","","Due to the disadvantage of the word segmentation tool in the aspect of the accuracy of word segmentation and speech tagging, it has harmful effects to the further research work. So this paper proposes a method based on the results of word segmentation to utilize language rules, which has been defined and described in Event Ontology, to verify and correct them. Experimental results show that compared with the method of only using word segmentation tool, the method of using language rules has a better performance.","","Ontologies, text analysis, natural language processing, Dictionaries, Word Segmentation, ontologies (artificial intelligence), Accuracy, Computers, Event, event ontology, Event Ontology, Hidden Markov models, Language Rule, language rules, Performance, speech tagging, Sun, Tagging, word segmentation tool","",""
6,"","sugisaki_german_2018","Sugisaki, K. & Tuggener, D.","German compound splitting using the compound productivity of morphemes","",,,"","141--147",2018,"","32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064207728&partnerID=40&md5=9ad88e6eff661a660d155b41ada1fbb9","{KONVENS} 2018 - {Conference} on {Natural} {Language} {Processing} / {Die} {Konferenz} zur {Verarbeitung} {Naturlicher} {Sprache}","","","","","","","","","","","cited By 0","In this work, we present a novel compound splitting method for German by capturing the compound productivity of morphemes. We use a giga web corpus to create a lexicon and decompose noun compounds by computing the probabilities of compound elements as bound and free morphemes. Furthermore, we provide a uniformed evaluation of several unsupervised approaches and morphological analysers for the task. Our method achieved a high F1 score of 0.92, which was a comparable result to state-of-the-art methods. © KONVENS 2018 - Conference on Natural Language Processing / Die Konferenz zur Verarbeitung Naturlicher Sprache.All right reserved.","","","",""
6,"","stymne_processing_2008","Stymne, S. & Holmqvist, M.","Processing of Swedish compounds for phrase-based statistical machine translation","",,,"","182--191",2008,"","54","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857535918&partnerID=40&md5=11ef39e004bb3623703d713985652303","Proceedings of the 12th {European} {Association} for {Machine} {Translation} {Conference}, {EAMT} 2008","","","","","","","","","","","cited By 6","We investigated the effects of processing Swedish compounds for phrase-based SMT between Swedish and English. Compounds were split in a pre-processing step using an unsupervised empirical method. After translation into Swedish, compounds were merged, using a novel merging algorithm. We investigated two ways of handling compound parts, by marking them as compound parts or by normalizing them to a canonical form. We found that compound splitting did improve translation into Swedish, according to automatic metrics. For translation into English the results were not consistent across automatic metrics. However, error analysis of compound translation showed a small improvement in the systems that used splitting. The number of untranslated words in the English output was reduced by 50\%.","","","",""
6,"978-3-540-85286-5","stymne_german_2008","Stymne, Sara","German Compounds in Factored Statistical Machine Translation","",,,"","464--475",2008,"Berlin, Heidelberg","event-place: Gothenburg, Sweden 34","http://dx.doi.org/10.1007/978-3-540-85287-2_44","Proceedings of the 6th {International} {Conference} on {Advances} in {Natural} {Language} {Processing}","","","{GoTAL} '08","","Springer-Verlag","","","","","","","","","","",""
6,"","stahlberg_word_2012-2","Stahlberg, F.; Schlippe, T.; Vogel, S. & Schultz, T.","Word segmentation through cross-lingual word-to-phoneme alignment","",,,"","85--90",2012,"","153","","2012 {IEEE} {Spoken} {Language} {Technology} {Workshop} ({SLT})","","","","","","","","","","","","We present our new alignment model Model 3P for cross-lingual word-to-phoneme alignment, and show that unsupervised learning of word segmentation is more accurate when information of another language is used. Word segmentation with cross-lingual information is highly relevant to bootstrap pronunciation dictionaries from audio data for Automatic Speech Recognition, bypass the written form in Speech-to-Speech Translation or build the vocabulary of an unseen language, particularly in the context of under-resourced languages. Using Model 3P for the alignment between English words and Spanish phonemes outperforms a state-of-the-art monolingual word segmentation approach [1] on the BTEC corpus [2] by up to 42\% absolute in F-Score on the phoneme level and a GIZA++ alignment based on IBM Model 3 by up to 17\%.","","natural language processing, Dictionaries, word segmentation, Vocabulary, unsupervised learning, Hidden Markov models, Training data, Grammar, speech recognition, automatic speech recognition, Vectors, Error analysis, alignment model, bootstrap pronunciation dictionaries, cross lingual information, cross lingual word-to-phoneme alignment, English words, Spanish phonemes, speech-to-speech translation, under-resourced language","",""
6,"","srinivasan_segmenting_2012","Srinivasan, S.; Bhattacharya, S. & Chakraborty, R.","Segmenting web-domains and hashtags using length specific models","",,,"","1113--1122",2012,"","58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871061019&doi=10.1145%2f2396761.2398410&partnerID=40&md5=4a4ef08843f61ac76f3dbc0b0b0a71a5","{ACM} {International} {Conference} {Proceeding} {Series}","","","","","","","","","","","cited By 13","Segmentation of a string of English language characters into a sequence of words has many applications. Here, we study two applications in the internet domain. First application is the web domain segmentation which is crucial for monetization of broken URLs. Secondly, we propose and study a novel application of twitter hashtag segmentation for increasing recall on twitter searches. Existing methods for word segmentation use unsupervised language models. We find that when using multiple corpora, the joint probability model from multiple corpora performs significantly better than the individual corpora. Motivated by this, we propose weighted joint probability model, with weights specific to each corpus. We propose to train the weights in a supervised manner using max-margin methods. The supervised probability models improve segmentation accuracy over joint probability models. Finally, we observe that length of segments is an important parameter for word segmentation, and incorporate length-specific weights into our model. The length specific models further improve segmentation accuracy over supervised probability models. For all models proposed here, inference problem can be solved using the dynamic programming algorithm. We test our methods on five different datasets, two from web domains data, and three from news headlines data from an LDC dataset. The supervised length specific models show significant improvements over unsupervised single corpus and joint probability models. Cross-testing between the datasets confirm that supervised probability models trained on all datasets, and length specific models trained on news headlines data, generalize well. Segmentation of hashtags result in significant improvement in recall on searches for twitter trends. © 2012 ACM.","","","",""
7,"","song_named_2017-2","Song, S.; Zhang, N. & Huang, H.","Named entity recognition based on conditional random fields","Cluster Computing",,,"","1--12",2017,"","126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029009712&doi=10.1007%2fs10586-017-1146-3&partnerID=40&md5=8cf127b4e560b9faaf5042dc71ed7239","","","","","","","","","","","","cited By 3; Article in Press","Named entity recognition (NER) is one of the fundamental problems in many natural language processing applications and the study on NER has great significance. Combining words segmentation and parts of speech analysis, the paper proposes a new NER method based on conditional random fields considering the graininess of candidate entities. The recognition granularity can be divided into two levels: word-based and character-based. We use segmented text to extract characteristics according to the characteristic templates which had been trained in the training phase, and then calculate (Formula presented.) to get the best result from the input sequence. The paper valuates the algorithm for different graininess on large-scale corpus experimentally, and the results show that this method has high research value and feasibility. © 2017 Springer Science+Business Media, LLC","","","",""
7,"","smith_82_2018-1","Smith, Aaron; Bohnet, Bernd; Lhoneux, Miryam de; Nivre, Joakim; Shao, Yan & Stymne, Sara","82 Treebanks, 34 Models: Universal Dependency Parsing with Multi-Treebank Models","arxiv:1809.02237",,,"","",2018,"","88","http://arxiv.org/abs/1809.02237v1","","","","","","","","","","","","","","","⛔ No DOI found","",""
7,"","shishkova_annotated_nodate","Shishkova, Anna & Chernyak, Ekaterina","Annotated Suffix Tree Method for German Compound Splitting","",,,"","",,"","08","","","","","","","","","","","","","","","","","",""
